opcode_l,op_enum,name,ty_am,i32,i64,f32,f64,top_name,has_result,test_op,diff_type,t1,t2,t3
0x9e,LLOAD16_ROFS_L,lload16,TY_AM64_R_IMM,1,1,,,lload16,1,,,,,
0x9f,LLOAD16_U_ROFS_L,lload16_u,TY_AM64_R_IMM,1,1,,,lload16_u,1,1,,,,
0xa0,LLOAD32_ROFS_L,lload32,TY_AM64_R_IMM,,1,,,lload32,1,1,,,,
0xa1,LLOAD32_U_ROFS_L,lload32_u,TY_AM64_R_IMM,,1,,,lload32_u,1,1,,,,
0xa2,LSTORE_L,lstore,TY_AM64_R_IMM,1,1,1,1,lstore,,,,,,
0xa3,LSTORE8_L,lstore8,TY_AM64_R_IMM,1,1,,,lstore8,,,,,,
0xa4,LSTORE16_L,lstore16,TY_AM64_R_IMM,1,1,,,lstore16,,,,,,
0xa5,LSTORE32_L,lstore32,TY_AM64_R_IMM,,1,,,lstore32,,,,,,
0xa6,EQ,eq,TY_AM64_R_R_R,1,1,1,1,eq,1,1,1,P_I32,TY_VAL,TY_VAL
0xa7,NE,ne,TY_AM64_R_R_R,1,1,1,1,ne,1,1,1,P_I32,TY_VAL,TY_VAL
0xa8,LT,lt,TY_AM64_R_R_R,1,1,1,1,lt,1,1,1,P_I32,TY_VAL,TY_VAL
0xa9,LT_U,lt_u,TY_AM64_R_R_R,1,1,,,lt_u,1,1,1,P_I32,TY_VAL,TY_VAL
0xaa,GT,gt,TY_AM64_R_R_R,1,1,1,1,gt,1,1,1,P_I32,TY_VAL,TY_VAL
0xab,GT_U,gt_u,TY_AM64_R_R_R,1,1,,,gt_u,1,1,1,P_I32,TY_VAL,TY_VAL
0xac,LE,le,TY_AM64_R_R_R,1,1,1,1,le,1,1,1,P_I32,TY_VAL,TY_VAL
0xad,LE_U,le_u,TY_AM64_R_R_R,1,1,,,le_u,1,,1,P_I32,TY_VAL,TY_VAL
0xae,GE,ge,TY_AM64_R_R_R,1,1,1,1,ge,1,,1,P_I32,TY_VAL,TY_VAL
0xaf,GE_U,ge_u,TY_AM64_R_R_R,1,1,,,ge_u,1,,1,P_I32,TY_VAL,TY_VAL
0xb0,ADD,add,TY_AM64_R_R_R,1,1,1,1,add,1,,,,,
0xb1,SUB,sub,TY_AM64_R_R_R,1,1,1,1,sub,1,,,,,
0xb2,MUL,mul,TY_AM64_R_R_R,1,1,1,1,mul,1,,,,,
0xb3,DIV,div,TY_AM64_R_R_R,1,1,1,1,div,1,,,,,
0xb4,DIV_U,div_u,TY_AM64_R_R_R,1,1,,,div_u,1,,,,,
0xb5,REM,rem,TY_AM64_R_R_R,1,1,,,rem,1,,,,,
0xb6,REM_U,rem_u,TY_AM64_R_R_R,1,1,,,rem_u,1,,,,,
0xb7,AND,and,TY_AM64_R_R_R,1,1,,,and,1,,,,,
0xb8,OR,or,TY_AM64_R_R_R,1,1,,,or,1,,,,,
0xb9,XOR,xor,TY_AM64_R_R_R,1,1,,,xor,1,,,,,
0xba,SHL,shl,TY_AM64_R_R_R,1,1,,,shl,1,,1,TY_VAL,TY_VAL,P_U32
0xbb,SHR,shr,TY_AM64_R_R_R,1,1,,,shr,1,,1,TY_VAL,TY_VAL,P_U32
0xbc,SHR_U,shr_u,TY_AM64_R_R_R,1,1,,,shr_u,1,,1,TY_VAL,TY_VAL,P_U32
0xbd,MIN,min,TY_AM64_R_R_R,,,1,1,min,1,,,,,
0xb1e,MAX,max,TY_AM64_R_R_R,,,1,1,max,1,,,,,
0xbf,LLDA_L,llda,TY_AM64_R_OFS,1,1,,,llda,1,,,,,
0xc0,BUILTIN,builtin,TY_AM64_R_R_IMM,1,1,1,1,builtin,1,,,TY_VAL,P_OFS,
0xc1,GGET,globalget,TY_AM64_R_OFS,1,1,1,1,gget,1,,,,,
0xc2,GSET,globalset,TY_AM64_R_OFS,1,1,1,1,gset,1,,,,,
0xc3,,,,,,,,,,,,,,
0xc4,,,,,,,,,,,,,,
0xc5,,,,,,,,,,,,,,
0xc6,,,,,,,,,,,,,,
0xc7,,,,,,,,,,,,,,
0xc8,,,,,,,,,,,,,,
0xc9,,,,,,,,,,,,,,
0xca,,,,,,,,,,,,,,
0xcb,,,,,,,,,,,,,,
0xcc,,,,,,,,,,,,,,
0xcd,,,,,,,,,,,,,,
0xce,,,,,,,,,,,,,,
0xcf,,,,,,,,,,,,,,
0xd0,,,,,,,,,,,,,,
0xd1,,,,,,,,,,,,,,
